Team A,Team A Score,Team B,Team B Score
N.C. A&T,73,Liberty,72
Middle Tenn.,54,St. Mary's (Cal.),67
LIU Brooklyn,55,James Madison,68
Boise State,71,La Salle,80
Oklahoma State,55,Oregon,68
Saint Louis,64,New Mexico St.,44
Memphis,54,St. Mary's (Cal.),52
Michigan State,65,Valparaiso,54
Gonzaga,64,Southern Univ.,58
Pittsburgh,55,Wichita State,73
Butler,68,Bucknell,56
Marquette,59,Davidson,58
Louisville,79,N.C. A&T,48
Colorado State,84,Missouri,72
Oklahoma State,55,Oregon,68
Arizona,81,Belmont,64
New Mexico,62,Harvard,68
VCU,88,Akron,42
Michigan,71,South Dakota State,56
UNLV,61,California,64
Syracuse,81,Montana,34
Duke,73,Albany,61
Mississippi,57,Wisconsin,46
Temple,76,NC State,72
Pacific,49,Miami (FL),78
Cincinnati,63,Creighton,67
La Salle,63,Kansas State,61
James Madison,62,Indiana,83
Colorado,49,Illinois,57
Florida Gulf Coast,78,Georgetown,68
Iona,70,Ohio State,95
Villanova,71,North Carolina,78
Northwestern State,47,Florida,79
Oklahoma,55,San Diego State,70
Iowa State,76,Notre Dame,58
Western Kentucky,57,Kansas,64
Minnesota,83,UCLA,63
VCU,53,Michigan,78
Memphis,48,Michigan State,70
Colorado State,56,Louisville,82
Harvard,51,Arizona,74
Oregon,74,Saint Louis,57
Butler,72,Marquette,74
Wichita State,76,Gonzaga,70
California,60,Syracuse,66
Iowa State,75,Ohio State,78
Temple,52,Indiana,58
North Carolina,58,Kansas,70
Minnesota,64,Florida,78
Florida Gulf Coast,81,San Diego State,71
La Salle,76,Mississippi,74
Illinois,59,Miami (FL),63
Creighton,50,Duke,66
